age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34,3,222717,5,13,4,7,0,4,1,28,-1,40,38,1
20,3,209909,11,9,4,9,0,4,1,33,-4,15,38,0
44,3,275250,10,9,2,0,3,4,1,-63,1798,40,38,0
31,3,190482,1,10,0,7,1,1,0,-28,3,40,38,0
25,1,35304,12,9,2,9,1,4,0,-54,3,40,38,0
16,0,208288,11,6,4,7,4,4,0,-75,-1,46,38,0
27,1,244046,1,11,4,2,1,4,1,-53,2154,24,38,0
47,3,161412,11,6,2,7,0,4,1,-15,0,21,38,1
32,5,160133,16,13,2,0,1,4,0,-60,3,40,38,0
64,1,122564,15,9,2,10,2,4,0,14285,3,32,19,1
48,6,181193,12,9,4,12,0,4,0,8,0,22,38,0
38,4,16290,3,9,4,14,0,2,0,-63,-2,40,38,1
53,4,121239,-2,3,0,14,0,4,0,74,2017,40,38,0
30,0,281846,11,13,4,14,4,4,1,-73,0,40,38,0
22,1,307498,12,13,2,12,3,4,1,-40,4,40,38,0
51,3,217159,5,9,4,2,4,4,1,-110,4,40,38,0
22,6,20996,0,9,2,10,4,4,1,-98,-5,40,25,1
30,6,156978,11,10,4,9,0,4,0,-31,2,40,38,0
22,7,195543,9,9,6,2,1,2,1,-53,3,51,38,0
41,3,170118,15,10,4,0,3,2,0,-72,3,44,38,0
22,3,160014,7,10,2,11,1,2,0,-14,3,45,38,1
25,3,108880,12,10,4,3,5,4,1,-105,-2,65,38,0
51,3,180319,7,13,0,2,0,4,0,-30,2,40,38,0
27,5,143144,15,9,0,2,0,4,1,-102,6,40,38,0
37,3,44939,9,10,0,0,1,4,0,-66,2,40,20,0
22,3,53904,11,11,2,12,1,4,1,64,0,40,38,0
27,3,154071,1,9,2,2,0,4,0,-58,2,40,38,0
25,3,240746,15,7,2,0,4,4,1,15,2,37,38,1
21,5,126388,12,9,2,11,4,4,1,53,1648,40,38,1
53,3,148435,3,9,2,5,0,4,0,26,0,40,38,1
35,5,36512,15,9,2,7,2,4,0,-11,-2,12,38,1
41,3,114962,5,9,2,2,4,4,0,-71,-3,19,38,0
40,3,183074,12,10,0,14,4,4,1,-37,3,20,38,0
46,3,44470,15,10,2,10,0,2,0,6,-2,40,38,0
23,1,178423,12,10,6,0,1,2,0,47,1995,40,38,0
36,5,119751,15,14,2,0,3,4,0,-87,5,45,38,0
38,3,158948,2,1,2,4,2,4,0,-79,-2,8,37,1
16,3,84515,11,9,4,12,3,1,1,-69,2,40,38,0
54,6,153685,11,9,2,10,1,1,1,-16,1,11,38,0
48,1,100362,8,8,2,0,1,4,0,-35,1,13,38,0
32,3,147136,11,9,0,14,0,3,1,-14,-2,53,38,0
26,7,219176,11,9,4,7,4,1,1,-60,-2,50,38,0
32,2,214510,11,9,4,3,3,4,0,17,4,40,38,0
19,0,21000,15,11,4,11,4,4,1,-57,4,40,38,0
43,4,42520,15,14,4,0,1,2,1,-42,2253,50,38,0
42,3,379272,7,12,4,0,0,4,0,-62,1,40,38,0
31,8,140206,1,9,2,7,1,4,1,3,-3,40,38,0
47,3,71921,11,9,4,7,0,4,1,12521,6,48,38,0
37,3,217020,12,7,2,12,1,4,1,-10,-3,40,38,0
34,0,271766,5,9,5,11,1,4,0,35,-2,40,38,0
37,7,124916,12,10,4,2,1,4,1,-39,2,40,38,0
24,6,125111,12,13,4,3,3,4,1,-112,3,40,38,0
22,3,405082,10,7,2,14,4,4,1,-68,3,40,38,0
38,3,168092,12,9,2,12,5,4,1,-107,0,22,38,0
40,3,130830,15,9,0,9,0,4,1,47,6,35,38,0
26,3,8505,12,9,4,7,3,2,1,-41,1,40,38,0
34,3,307894,12,9,2,11,1,0,0,21,1,40,38,0
60,3,141645,9,10,4,3,0,1,1,-45,2024,17,38,0
29,3,239720,12,10,2,2,1,3,0,-78,1972,40,38,1
31,7,854705,15,9,2,14,4,2,0,39,3,40,19,0
51,3,144878,8,9,4,11,0,4,0,-103,0,50,38,0
42,3,153065,15,9,4,10,2,4,1,-52,5,43,38,0
43,4,108195,11,9,2,11,3,4,0,-46,4,40,38,0
25,3,76335,15,10,0,7,0,4,1,-49,1,40,38,0
38,3,261848,5,1,4,0,0,4,0,-20,6,58,38,1
57,2,75082,12,15,0,2,2,4,0,-72,2,43,38,0
17,3,76345,12,11,4,13,5,4,0,-32,1392,17,10,0
25,3,155620,1,10,2,9,5,4,0,-21,4,50,38,0
31,5,176010,11,10,4,2,3,4,0,64,2807,40,38,0
23,3,193394,7,13,4,7,3,4,0,38,1,40,38,0
84,3,48557,1,9,4,9,2,2,0,52,4,103,38,0
32,0,97937,8,9,2,7,0,4,1,-49,2,40,38,0
18,3,289366,9,11,0,9,0,4,1,-67,1,40,38,0
35,7,102549,11,12,2,11,4,4,1,24,2,40,38,1
21,3,151452,10,10,0,11,0,4,1,-108,-2,29,38,0
42,1,194500,12,10,6,7,0,4,1,25,-3,61,38,0
28,7,210672,1,9,2,0,4,2,1,-40,1885,58,38,0
43,1,195482,11,9,4,11,0,4,1,20,4,18,38,0
23,7,164502,11,9,2,3,1,4,0,51,1,40,12,1
19,3,197882,14,11,2,4,4,4,1,15,-1,40,38,0
48,3,156174,11,9,5,12,0,4,1,-31,1608,40,38,0
31,3,190768,12,10,2,7,0,4,0,22,1868,40,38,1
36,3,36903,14,13,5,10,1,4,1,-3,4,40,38,1
29,3,299446,8,10,3,12,1,4,0,-47,0,40,38,0
39,3,144681,12,13,6,2,0,2,0,-44,1966,58,38,0
34,3,67115,8,9,2,7,0,4,0,-87,1,30,38,0
74,8,254941,15,9,4,7,4,4,0,16,2,50,38,1
19,3,162288,7,9,2,12,4,1,1,-17,5,40,36,0
47,3,137529,11,9,6,4,0,4,1,-87,4,40,38,0
42,3,180189,11,10,4,7,2,4,1,-15,4,40,38,0
36,3,136824,11,13,2,12,0,4,1,6,2,40,38,0
35,3,35892,15,13,4,0,4,4,0,21,5,19,38,0
27,3,166702,11,9,2,0,0,4,0,-75,-1,30,38,0
45,6,278630,11,9,4,3,5,4,0,-85,-2,40,38,0
33,6,47133,15,11,0,9,4,4,1,-19,3,2,38,0
53,6,206170,12,13,2,4,3,3,1,-64,0,46,38,0
40,3,175393,9,13,0,0,1,4,1,-4,-3,23,38,0
21,3,154740,15,9,2,2,1,4,0,13539,2,40,38,1
44,1,315950,12,9,4,7,0,4,1,-59,-1,40,38,0
19,3,310201,9,9,2,9,1,4,1,-22,-1,40,38,1
57,3,230515,11,13,0,0,2,4,1,44,-3,52,38,0
41,3,142626,11,13,4,0,4,4,0,-39,5,40,38,0
33,3,135493,15,3,2,0,0,2,1,20,2304,40,38,0
46,3,258252,0,5,2,11,4,4,1,1460,2,40,25,0
23,3,247686,12,13,5,13,3,4,0,-58,3,40,38,0
47,3,330789,15,10,0,4,0,4,1,19,-4,41,38,0
42,3,109342,16,13,0,10,0,4,1,13,2939,23,38,0
16,3,160363,5,10,4,7,3,4,1,-63,1,22,38,0
47,6,63430,11,9,0,0,0,2,1,91,0,40,38,0
52,3,77017,4,9,0,0,2,4,1,-53,2268,40,38,1
42,3,239456,11,13,6,5,0,4,0,-99,1,40,38,0
35,3,268437,8,9,2,0,0,0,1,-90,1766,32,38,0
20,5,107687,12,10,2,9,1,2,1,-13,4,44,38,0
45,7,173543,12,9,4,9,0,4,1,1,1,6,38,0
24,1,156900,-1,9,4,10,0,3,1,-48,0,40,38,1
34,3,105658,12,6,2,4,0,4,1,40,-2,16,38,1
41,3,50505,12,10,2,0,5,4,0,-108,2579,40,38,0
41,7,120705,11,10,2,2,1,3,1,-79,-1,42,38,1
50,3,197832,11,13,2,11,4,4,1,-41,-1,43,38,0
18,3,176526,7,9,5,7,1,4,0,-44,-2,40,38,1
44,4,229028,2,9,4,3,1,4,0,-108,-2,49,38,0
55,3,200989,11,9,3,2,0,4,1,77,1436,45,38,1
40,3,139189,9,10,0,12,5,4,0,-39,3,40,38,0
25,3,158325,11,12,6,11,0,4,1,-19,4,40,38,0
25,0,24891,11,13,3,14,3,4,0,-90,-1,40,38,0
34,7,213536,8,6,2,0,3,4,0,-125,-6,40,38,0
36,4,217164,7,9,2,0,0,4,0,-51,-1,40,38,1
26,3,148803,7,16,4,10,1,4,1,-93,1,40,38,0
30,3,241349,11,13,0,12,0,4,1,-94,3,12,5,1
16,6,151426,14,10,4,3,0,4,1,-44,-3,18,38,0
40,4,96584,4,13,4,10,1,4,1,-27,0,40,38,0
27,3,23499,11,9,2,7,4,4,1,71,-2,40,38,0
25,3,192321,9,7,5,10,3,1,1,-49,0,40,27,0
51,5,58058,11,5,2,0,0,4,0,-72,1,49,32,0
25,3,282157,2,11,4,9,1,4,0,-65,0,49,38,0
55,3,65565,10,9,4,9,3,4,0,-58,1,40,38,0
60,3,169171,15,9,4,11,2,4,1,-102,0,52,38,0
22,3,204734,11,9,4,7,4,4,0,-99,1,36,38,0
18,3,149442,9,10,2,4,4,4,1,13,1,63,38,1
18,3,189695,8,9,4,3,1,4,1,-44,4,40,38,0
33,3,51195,9,10,6,5,0,4,1,-74,6,54,38,0
59,6,146147,-1,13,1,2,0,4,0,-10,4,20,38,0
29,3,144183,9,8,0,0,3,4,0,-99,4,40,39,0
37,0,177923,9,9,0,0,0,4,1,26,0,34,38,0
15,4,395026,15,9,4,7,4,4,1,-29,2,40,25,0
26,3,253544,8,9,4,7,4,4,0,-44,1962,40,38,0
46,3,27600,14,9,2,3,1,4,0,-107,4,15,38,0
31,3,139544,5,6,4,0,0,1,1,32,-4,16,38,0
33,5,51630,2,9,4,10,1,3,0,-68,-4,50,38,0
41,3,178632,11,13,0,7,2,4,1,-22,2,20,38,0
16,3,163486,11,9,4,7,0,1,1,11,2192,20,38,0
25,3,249730,9,9,5,0,0,4,0,-64,-2,50,38,0
23,3,97191,9,10,2,9,3,4,1,-44,-1,40,21,0
43,4,171129,11,9,0,7,0,4,0,-20,0,40,38,0
55,3,197302,11,9,0,3,4,4,0,-60,2282,40,38,0
29,1,223157,15,9,5,2,0,4,0,-84,3,40,38,0
39,3,480628,12,9,2,9,1,4,0,-14,-2,20,38,0
30,4,67301,11,9,2,0,0,1,0,-99,1,49,38,0
29,3,155125,11,9,2,7,5,4,0,-128,0,49,38,0
38,1,280198,11,9,0,3,3,4,1,-53,-1,40,38,0
18,3,258666,11,9,0,7,4,4,1,26,-2,40,38,0
27,6,167268,0,6,2,7,3,0,1,-83,-1,40,38,0
24,3,51356,15,11,4,13,0,4,0,-17,-1,40,38,1
34,1,121696,11,9,4,0,0,2,1,-117,2,32,38,0
32,0,320721,15,11,4,3,0,4,0,-20,4,40,38,0
23,3,182251,15,9,4,0,0,4,0,8214,0,49,38,0
28,4,100318,8,13,0,11,4,4,1,-81,-1,37,38,0
46,3,7858,5,11,2,0,3,2,0,-63,-4,52,38,0
35,3,170567,11,13,4,2,1,4,1,5890,7,40,38,0
29,2,165585,11,9,4,13,0,4,1,18,1,51,38,0
22,3,122514,4,11,2,0,0,4,1,-54,0,40,38,1
28,6,197380,7,11,4,2,4,4,0,-52,2,50,38,1
57,3,203423,3,10,0,7,5,2,1,-58,-1,40,38,0
28,3,192237,11,10,4,0,1,2,1,14,-1,33,38,0
22,6,149549,12,9,6,7,3,4,0,-91,1,40,38,0
41,3,175949,15,10,4,3,1,4,0,-112,2,40,38,0
21,1,172121,11,10,2,9,2,3,1,-35,-2,16,38,0
29,7,158296,11,9,6,13,3,4,1,-40,1,40,38,1
25,1,57058,2,10,2,9,0,2,1,-11,-1,59,38,0
31,3,182007,11,9,2,14,0,4,1,80,-3,40,38,0
46,3,48261,9,9,2,9,1,4,1,-53,4,19,38,0
52,3,220848,12,14,2,13,0,4,1,-41,4,51,38,1
44,3,204166,12,14,2,2,4,4,1,-47,6,59,38,0
60,2,141430,8,9,2,10,4,4,1,-69,-3,40,38,0
68,3,179,11,10,2,10,1,4,0,-45,-3,36,38,0
25,3,193763,11,9,4,7,1,4,0,-86,3,40,38,0
41,3,207401,3,9,2,7,3,4,0,-24,4,40,38,0
27,6,161588,12,6,0,12,0,4,1,32,0,40,38,0
25,3,215665,9,13,5,7,3,4,1,-86,1518,40,38,1
54,3,77825,11,9,0,9,0,4,1,-5,2635,40,38,0
21,7,173252,15,10,4,2,0,4,1,-73,3072,9,38,0
26,2,94187,9,9,6,11,4,4,1,-73,4,50,38,1
44,3,48116,11,13,2,11,4,4,1,-84,3,40,38,1
57,3,36730,6,12,4,4,1,0,0,39,5,82,38,1
70,3,206865,14,13,4,14,0,4,1,8,-1,51,38,0
32,3,151098,12,4,3,3,1,4,1,-22,1,17,38,0
22,1,146984,15,10,2,7,0,4,1,-22,6,40,38,0
19,3,187379,15,11,2,10,0,4,1,-5,-3,40,38,0
35,7,127847,11,13,4,0,2,4,1,48,2,40,38,0
20,3,213013,0,7,2,0,1,4,0,-12,2,34,38,0
25,3,141846,11,9,2,11,5,4,1,-15,0,40,38,0
28,3,149366,1,9,4,3,0,4,1,40,-2,40,39,1
32,3,75937,0,8,4,4,2,4,0,-20,4,40,38,0
42,3,259049,7,4,1,13,3,4,1,15,4,72,38,0
21,3,215129,9,9,4,0,4,4,0,5,1,40,38,0
28,3,31235,11,9,4,4,0,4,1,-14,5,49,38,0
28,3,382180,11,10,2,14,1,4,0,11,1,40,32,1
37,3,384164,9,13,2,11,0,4,1,-109,0,17,38,1
61,3,190413,15,9,2,0,3,0,1,-22,-3,51,38,0
19,3,202804,4,9,2,0,1,4,0,20,0,35,21,1
23,3,65798,10,9,2,2,0,2,1,-57,1,50,38,0
30,3,209747,11,14,4,14,4,4,0,-60,-2,59,38,0
35,6,123941,1,9,4,11,3,4,0,-7,5,50,38,0
20,3,55682,2,9,2,7,0,4,1,-85,4,40,38,0
22,3,143009,15,9,4,14,1,4,0,-21,2093,50,38,1
28,3,131259,9,9,0,0,0,1,0,-84,2,12,39,0
40,3,152205,8,10,0,13,3,4,1,-106,4,40,38,1
65,3,203022,15,10,2,6,1,4,1,-36,4,40,38,0
21,6,14830,15,9,2,0,1,2,0,-11,2,40,38,0
27,3,161385,9,15,0,0,0,4,1,35,-5,41,16,0
17,3,208527,7,9,5,0,5,4,0,-80,3,50,12,1
28,3,107959,15,11,4,14,1,3,0,12,0,50,4,0
29,3,140295,9,9,4,2,2,4,1,-67,-2,16,38,0
38,6,199704,12,10,5,9,5,4,1,-48,-4,51,38,0
62,3,145042,8,13,4,3,4,4,0,12,5,58,38,0
18,8,165336,6,14,2,0,1,2,0,-49,2060,40,24,0
24,3,131230,11,9,6,9,2,4,1,6,0,40,38,0
27,3,397118,4,11,2,0,0,4,0,-69,-3,40,38,1
34,5,32455,15,9,2,11,3,4,0,36,1,33,38,0
32,3,66399,11,9,2,12,1,4,1,30,0,11,38,0
38,6,221926,11,14,2,0,1,4,0,-73,5,23,38,1
55,3,195936,11,9,0,11,0,4,1,-113,-2,40,17,0
27,3,147005,15,9,2,0,0,4,1,47,-1,50,38,0
40,4,257959,15,13,2,13,3,0,1,-79,5,40,38,0
34,3,7508,11,9,2,0,0,4,1,16,2,47,38,0
36,3,86971,12,10,3,2,2,4,1,-54,3,30,38,1
39,3,184901,8,9,4,7,1,4,0,9,1,32,38,0
37,0,144296,9,7,4,11,2,4,1,-5,1,50,38,0
37,3,26232,11,9,0,7,0,2,0,-135,3,40,38,1
39,3,81560,15,10,4,7,4,4,1,-74,1703,30,38,0
58,3,130192,11,9,4,10,4,4,1,-29,-2,40,38,0
33,3,185320,11,9,4,12,3,2,1,21,1650,45,38,0
65,5,154513,15,10,2,3,3,4,0,-79,0,51,38,0
33,0,192781,9,9,4,11,1,1,1,37,1,50,38,0
54,3,60076,6,11,4,7,1,4,0,6,-2,23,38,0
19,3,142028,1,14,0,2,0,4,0,-60,5,40,38,0
39,3,200110,12,2,2,7,4,4,0,-109,-3,49,24,0
63,3,230835,8,9,4,7,1,4,0,34,-2,40,38,1
81,5,160913,15,9,2,2,0,4,1,77,2546,40,38,1
46,0,146642,12,10,2,2,4,4,1,-50,-3,40,38,0
29,6,144610,15,9,0,9,4,2,1,-22,1,51,38,1
35,3,175822,7,9,0,9,0,2,1,-30,-1,40,38,0
46,5,157789,9,9,2,2,4,3,1,-23,5,40,38,1
40,3,186241,1,6,4,7,1,4,1,25,0,43,38,0
17,5,138231,14,10,6,14,3,4,1,-64,2207,40,38,0
26,3,245097,1,6,4,2,4,4,1,-105,-6,55,38,0
46,1,18565,11,6,0,10,0,4,1,-91,1,62,38,0
45,3,26383,8,13,4,2,1,4,0,-42,-2,40,38,1
51,3,113834,12,13,4,7,3,4,0,-20,1920,40,38,1
26,3,236366,11,10,2,0,0,4,0,-52,2,14,38,1
38,7,195863,11,9,0,11,1,4,0,-45,1,47,38,0
34,3,100900,11,9,2,14,0,4,1,-9,-2,62,38,0
22,3,186336,14,13,2,9,1,4,1,-9,1,40,29,0
31,0,228234,11,10,2,9,0,4,1,-43,-4,21,38,0
25,3,138731,9,10,4,11,5,4,0,-74,7,57,38,0
37,1,86118,11,11,0,3,4,4,1,-22,5,40,38,0
38,4,70988,13,14,6,13,4,4,1,-36,0,23,38,0
19,3,70012,2,9,2,9,0,1,0,-44,4,40,38,0
25,3,149770,8,9,2,14,0,4,0,13864,4,22,38,1
70,1,152261,15,13,2,9,0,4,1,-40,-3,16,38,0
37,1,297528,5,9,0,0,5,2,1,-84,2,50,38,0
43,7,187500,8,1,2,3,0,2,1,74,-3,40,38,0
16,3,192165,6,9,4,0,5,4,0,-76,1,40,38,1
35,3,172121,1,11,2,0,1,3,1,-63,2078,45,38,0
60,0,214967,11,10,4,7,3,4,1,14,3,40,38,1
32,3,159491,0,9,2,13,4,4,0,-54,-3,40,38,0
65,0,157107,11,13,2,9,0,4,0,-140,4,40,38,0
38,3,109722,12,10,0,12,0,4,1,-30,-1,40,38,0
37,6,171549,11,9,5,14,3,3,0,-50,0,17,38,0
41,1,223249,10,7,4,13,0,4,1,-123,3,14,38,0
45,5,82670,9,10,1,4,3,2,1,-39,3,40,38,0
33,3,16724,11,10,2,11,0,4,1,-119,2605,40,38,0
18,3,28479,5,9,5,7,1,4,1,-100,4,40,38,0
63,3,191903,12,9,0,7,3,4,0,-16,-2,45,38,0
16,7,50165,15,10,2,5,5,4,0,-105,-3,29,38,0
35,7,43552,9,9,2,0,0,2,1,8,-2,40,25,0
20,3,61914,1,9,6,5,0,4,1,-91,-1,19,38,0
48,3,133943,11,10,0,10,4,4,0,3730,-3,37,38,0
73,3,166814,11,7,4,7,0,4,1,45,0,18,38,1
35,3,166302,11,9,2,12,1,0,0,-60,-2,56,38,0
49,3,171079,12,9,4,9,1,2,1,-10,1,40,38,0
25,3,198907,11,14,5,6,3,4,0,99,5,15,38,0
17,0,174930,11,10,2,11,0,4,1,-139,7,40,38,0
58,3,319230,9,13,4,7,2,4,1,-29,0,40,38,0
29,5,140800,11,1,2,13,0,2,1,-37,0,25,38,0
25,0,47106,15,9,4,9,1,2,1,-115,5,20,38,0
49,1,193393,3,9,2,0,3,4,1,-96,2358,20,38,0
51,3,110861,11,9,4,11,1,4,1,13528,-2,32,38,0
47,3,225748,15,9,4,4,0,4,1,-4,1,56,38,0
18,5,228629,11,0,2,2,4,4,1,-72,-1,40,38,0
21,4,165769,9,9,3,2,3,2,1,-68,5,40,38,0
34,3,69098,11,9,6,13,5,2,0,-94,-2,50,38,0
24,4,181115,11,11,2,2,0,4,1,-83,1651,40,38,0
29,3,56502,16,13,2,9,5,4,1,-114,0,40,38,0
26,5,200227,9,9,2,0,1,2,0,-37,-1,40,38,0
36,3,24066,8,11,6,13,4,4,1,-111,4,47,39,0
26,3,203596,12,9,0,11,1,4,1,-71,-3,41,38,1
22,4,108225,9,10,4,2,3,2,0,-110,2104,34,38,0
53,3,155637,12,9,2,0,4,4,1,-10,2,40,38,1
36,3,46077,1,9,2,2,0,4,1,5,-1,34,38,1
47,3,70660,16,10,2,9,2,4,1,-91,0,40,38,0
33,1,144223,9,10,2,11,0,0,0,-24,4,57,39,0
27,3,23598,15,9,2,9,4,4,0,-68,0,40,38,1
31,4,200710,12,10,4,10,3,3,0,22,1227,48,38,0
39,1,209986,12,11,0,14,4,4,0,-103,1548,40,38,0
59,6,174211,12,9,4,2,0,4,0,-9,2,40,38,0
37,5,193617,15,13,3,12,5,4,1,-1,1,40,38,0
31,3,164529,-1,9,4,14,0,4,1,-39,0,40,38,1
26,1,136028,15,9,4,2,4,4,0,-117,0,57,38,0
17,3,153037,11,10,2,0,1,2,0,-51,2,40,38,0
55,3,286616,11,13,5,14,0,2,1,-5,1840,40,38,1
35,3,174568,11,13,4,12,4,4,1,-135,4,9,38,1
33,3,266696,7,9,4,7,5,4,1,15,-5,31,38,1
28,1,104683,9,10,2,12,1,4,0,-13,1,40,38,1
31,1,235370,15,9,4,9,1,4,1,-81,6,40,38,0
17,1,143195,12,9,2,2,4,4,1,-43,0,50,38,0
33,3,168068,15,11,4,13,1,4,1,-7,2,40,38,0
17,1,203924,6,9,4,7,3,4,1,-117,0,28,38,0
18,0,179750,11,9,2,2,0,4,1,-2,2141,35,7,0
32,0,313955,15,10,4,15,0,2,1,-23,2,28,38,0
22,3,64774,11,10,4,0,0,4,0,-73,2,40,38,0
45,3,99230,7,10,2,2,1,4,1,-63,2,18,38,0
36,6,162083,11,10,3,3,3,4,1,-26,-4,40,17,0
34,5,171649,13,11,0,9,5,4,1,-92,-3,14,38,0
50,1,173346,15,8,5,7,1,4,1,38,2,12,38,0
24,5,148661,8,14,5,3,1,4,0,4,2,50,38,0
27,3,29029,12,16,4,12,5,2,1,39,6,40,38,0
25,1,68215,7,10,4,11,2,4,1,-30,0,47,20,0
22,3,181881,11,6,4,0,4,4,0,-110,1,50,38,1
37,1,155177,5,10,2,0,0,4,1,-54,0,11,38,0
44,7,142436,12,6,2,14,0,4,1,-66,4,62,38,0
35,1,188629,2,9,0,2,2,4,1,-83,0,29,38,0
39,7,154393,3,12,4,7,2,4,1,-56,4,40,26,0
35,8,126383,11,13,2,7,4,2,1,-33,2,34,38,0
48,3,42674,6,9,4,3,3,0,1,-94,3,46,38,1
23,3,30679,8,13,2,3,1,4,1,-34,0,40,38,0
20,3,197854,9,13,2,0,0,4,1,-65,6,57,38,1
36,3,217421,11,9,2,12,1,4,0,-77,0,40,38,0
16,3,131013,7,9,2,11,0,4,1,-89,-1,40,38,0
20,3,161191,14,14,4,7,3,4,0,-37,0,40,38,1
34,3,178217,11,14,4,9,1,3,1,39,-2,34,38,1
44,3,287450,11,10,3,10,4,4,1,-27,-3,40,38,0
16,3,47636,8,15,2,0,1,4,0,-48,2,40,38,0
42,3,272761,15,9,0,11,4,2,0,-2,1,40,38,0
19,0,195276,9,1,2,3,1,4,0,-6,2,40,38,0
14,3,46618,15,11,4,0,0,4,0,80,5,40,38,1
21,3,207369,12,5,5,0,1,4,1,-33,-1,38,38,0
42,3,130697,5,10,4,11,1,4,0,-20,3,40,38,0
28,5,125894,7,5,0,7,1,4,1,-20,0,31,38,0
36,4,287835,9,9,2,7,0,4,0,-97,2,50,38,0
20,5,176327,7,9,4,2,3,4,0,-96,5,40,26,0
37,7,199265,11,14,2,2,0,4,0,-41,1,40,38,0
22,5,32476,15,9,4,7,0,4,0,42,-2,40,22,0
18,5,97016,12,13,4,3,3,4,1,-65,2,40,38,0
32,7,54451,12,9,2,3,4,4,0,5,2,43,38,0
56,7,186303,11,9,2,7,0,4,0,-94,-5,40,38,1
52,3,1262,9,10,5,7,4,4,0,-66,4,50,38,0
45,7,106126,11,1,4,10,3,0,0,-86,0,40,38,0
28,3,171691,11,9,4,11,0,2,0,-67,2,40,38,1
36,7,76962,0,11,2,3,4,3,1,-50,0,40,38,0
34,3,117762,12,2,2,4,0,4,1,-89,2,40,38,0
36,3,186047,11,11,4,4,0,0,1,0,2715,49,38,0
41,0,150185,15,9,2,10,1,4,1,11,-3,40,38,0
16,3,71029,11,11,2,11,1,1,0,40,2370,40,38,0
37,6,31692,11,11,2,14,2,4,1,-31,2,40,38,0
21,3,38031,11,9,6,10,2,0,1,-75,-1,45,38,0
30,3,145866,11,9,4,10,3,4,0,-46,4,47,38,0
29,3,157351,10,14,2,4,2,4,1,-81,0,49,38,1
44,3,15504,1,11,2,3,0,4,1,-1,4,40,38,0
28,3,136131,7,9,4,14,2,2,1,-64,-1,35,33,0
62,3,201465,8,9,4,3,5,4,0,-2,0,40,38,0
25,3,339663,11,9,4,2,4,4,0,-45,-1,40,38,0
37,3,173176,11,15,4,3,3,4,0,-36,-2,40,38,0
24,3,39282,11,9,4,9,0,4,1,-125,3,40,38,0
65,3,338941,15,9,4,0,0,4,0,38,4,37,38,1
21,3,155646,8,14,6,7,3,4,1,29,2060,40,38,0
40,8,110773,11,2,4,4,1,4,1,-74,1,21,38,1
41,3,218917,11,10,6,12,3,4,0,-20,1,40,38,0
40,3,192673,2,9,4,6,0,4,1,8,1,50,38,0
45,1,178119,11,10,2,6,0,4,0,2,-5,46,38,0
36,3,272805,2,9,4,3,1,4,0,-85,3,24,38,0
27,5,102361,6,10,4,7,0,4,0,-28,-2,40,38,0
35,6,148514,11,9,2,12,0,4,1,3367,2,50,38,0
22,0,152901,11,9,2,0,0,4,0,-40,4,42,38,0
48,3,234034,15,3,0,4,3,0,1,32,1787,50,38,0
63,6,91390,11,9,2,0,4,4,0,87,-1,40,38,0
18,3,42309,8,9,2,10,5,2,1,8,-4,40,38,0
31,3,231180,11,10,2,3,1,2,0,-31,-2,40,38,0
39,6,155633,11,9,2,4,1,3,1,9,-3,46,38,0
36,3,218976,15,15,3,11,4,4,1,-82,-2,59,38,0
51,3,33999,11,11,2,0,5,4,1,-104,1,11,38,0
